,Date,Tweet,likeCount
0,2022-12-22 23:30:00+00:00,"The Metropolitan Manila Development Authority (MMDA) is now allowing shopping malls in Metro Manila to resume their normal operating hours after the expected holiday traffic volume did not occur.

https://t.co/JVmSedLz1N",1
1,2022-12-22 23:23:42+00:00,This woman prevented prrd from having emergency powers to address the traffic problem in Manila and now she is pontificating. https://t.co/k2DLRt95IB,5
2,2022-12-22 23:13:38+00:00,"Traffic Update as of 07:12 am
South Metro Manila Skyway AT-GRADE
#oplanpasko2022 
@DOTrPH https://t.co/5UPHkpK9FA",1
3,2022-12-22 23:03:08+00:00,"Traffic Update as of 07:02 am
Manila-Cavite Toll Expressway
#oplanpasko2022 
@DOTrPH https://t.co/60lKSby1Aw",1
4,2022-12-22 22:03:00+00:00,the only one place you can possibly find traffic in manila at 5:45AM is the airport during christmas season,4
5,2022-12-22 21:31:09+00:00,Pota bumiyahe ng more than 12 hrs. Nastress dahil sa traffic tsaka sa airport. Tapos ngayon naiwan pa ng airasia yung bag ko sa manila 🙂👍 merry christmas indeed,1
6,2022-12-22 20:20:46+00:00,$ader $aderw Value investors note that the traffic remains high at Okada Manila. Love ❤️ Lady Gagita. The number of YouTube video uploaded is 300% more than last year. I estimate revenue of $250m for Q4 and this is just the beginning #ChristmasAtOkadaManila https://t.co/tMTvbnnSu4,5
7,2022-12-22 20:00:50+00:00,last shift later before Christmas! Emily &amp; Alice this long weekend ko kayo tatapusin since di tayo lalabas ng bahay dahil ang lala ng traffic dito sa Manila jusko,0
8,2022-12-22 19:23:59+00:00,Sayang gusto ko sana marinig balikbayan box pati maselang bahaghari.,0
9,2022-12-22 19:17:15+00:00,"Prev. five days passed like a blur. Felt like a dream honestly. I don't know what's gotten into me but i like manila. Maybe because i haven't seen its bad side yet aside from traffic but lets just keep it that way. So much to uncover. City lights, universities, malls. Brb manila",0
10,2022-12-22 18:50:00+00:00,"So ayon, TLDR, ayakong maging mas pabigat pa sa parents ko na ang laki na ng pinagdadaanan financially and tangina na ng Metro Manila traffic and public transportation. 

End rant, sana nag enjoy kau HAHAHAHA ALSO FEEL FREE TO DROP OPINIONS ABT MY DILEMMA, WELL APPRECIATED&lt;3",4
11,2022-12-22 18:40:13+00:00,Dead tired but what a solid setlist from Eraserheads. Always iconic,0
12,2022-12-22 17:21:23+00:00,"Not gonna say anything about this. BUUUUUT WANT TO SAY EVERYTHING ABOUT THIS!!!!!!! Achhkkkkk!!!
#PureplusxZeePruk

// i’m late, i was suffering thru Manila traffic 😭😭 https://t.co/YMaHd1PiHT",2
13,2022-12-22 17:00:54+00:00,I will be here in Manila / Antipolo for a month for the holidays(first time  to stay here this long) and my god... nakakailang days pa lang ako I feel like I aged 5 years because of traffic and pollution. The hours I spent stuck in traffic ang dami ko nang nagawa sa Palawan.,22
14,2022-12-22 16:23:33+00:00,@sweatystartup Out of curiosity have you visited the Philippines and the workers there? What are their working conditions like? depending on where in the country they are (Manila traffic is easily 2 hours each way) or are they all WFH? Not convinced 10k/yr equates to the living wage there,3
15,2022-12-22 16:23:10+00:00,"@jooniuverse @AncaSimply Interesting!  Trivia:  It takes about 3+ hours to drive from one end of Metro Manila to the other.  Same time it takes for a flight from Manila to Bangkok.  🤣 Yeah, we have postal issues AND traffic issues.",1
16,2022-12-22 16:15:00+00:00,"The Metropolitan Manila Development Authority (MMDA) is now allowing shopping malls in Metro Manila to resume their normal operating hours after the expected holiday traffic volume did not occur.

https://t.co/JVmSedLz1N",4
17,2022-12-22 16:00:48+00:00,sobraaang traffic sa manila ngayong holiday goodluck pi sa mga babyahe tomsie,0
18,2022-12-22 15:50:38+00:00,@jjicheol Natrauma nakos traffic sa manila HAHAHAHAH 😭😭😭😭😭😭😭😭,0
19,2022-12-22 15:40:16+00:00,Ghurl we're no better than manila. Parehas ratag prob5 sa traffic and transpo dri ug ddto. https://t.co/2Pqn7h4WbD,0
20,2022-12-22 15:35:25+00:00,"As someone from the province, naiiyak na agad ako sa traffic for tomorrow. Imagine, sasabay tayo sa mga naguuwian na employees from manila going to their respective provinces for the holiday season

Grabe kayo bench, ang daming chances before, bakit during holiday season pa 😥",59
21,2022-12-22 15:27:42+00:00,Grabe magasin live ng Eraserheads. 😭,0
22,2022-12-22 15:00:22+00:00,"woke up at 4:00 to do my hair and makeup, attended the event from 7-11am, fam celeb/malling until 4:30pm, Manila traffic~~ teh yung pagod ko hanggang next month ata di na ako sanay sa heels + gained weight during review to boards kaya sikip ng everything🥲",0
23,2022-12-22 14:46:08+00:00,Wow di natulog buong byahe si shyma nasanay na ba sa traffic at tagal ng byahe sa manila? Hmmmm,0
24,2022-12-22 14:37:29+00:00,tandang sora ave isang oras???!!! Grabe traffic di ko na po keri bak8 ganito metro manila,1
25,2022-12-22 14:18:59+00:00,"Thailand…
Good good food
Kinda dry but decent weather overall
Beautiful culture
Bangkok was pretty walkable
People were respectful and nice
Traffic reminded me of Manila 🫠
(But with better roads) 

8/10 
Would go back in a heartbeat",3
26,2022-12-22 14:06:18+00:00,"TRB  OPLAN  BIYAHENG AYOS PASKO 2022 

Area: South Metro Manila Skyway AT-GRADE, Magallanes NB
Date: 22 December 2022
Time: 9:45pm
Weather: Fair

Remarks: Light traffic both bound

Monitored by:
South Team

#oplanpasko2022
@DOTrPH https://t.co/p3bCx1ieiH",1
